Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
home,home,68efbab6bea05d68d44de4e2,68372587c1dea995b6fa9aa6,68efbac0efde092b48a2b06b,false,false,Wed Oct 15 2025 15:16:16 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 15:38:47 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 15:42:32 GMT+0000 (Coordinated Universal Time)
web design,web-design,68efbab6bea05d68d44de4e2,68372587c1dea995b6fa9aa6,6900bc3affacba2c6540b908,false,false,Tue Oct 28 2025 12:51:06 GMT+0000 (Coordinated Universal Time),Tue Oct 28 2025 12:51:50 GMT+0000 (Coordinated Universal Time),Tue Oct 28 2025 15:26:39 GMT+0000 (Coordinated Universal Time)
webflow development,webflow-development,68efbab6bea05d68d44de4e2,68372587c1dea995b6fa9aa6,68efbaccddd9a1ce88534040,false,false,Wed Oct 15 2025 15:16:28 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 15:38:42 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 15:42:32 GMT+0000 (Coordinated Universal Time)
